trial_number,state,value,datetime_start,datetime_complete,duration,param_vae_lr,param_policy_lr,param_vae_beta,param_vae_update_freq,param_seq_len,param_episodes_per_task,param_batch_size,param_vae_batch_size,param_ppo_epochs,param_entropy_coef
84,COMPLETE,19.005444332874323,2025-08-14 21:44:38.978446,2025-08-15 00:07:30.143544,8571.165098,0.0011024198617782535,0.0017220832765907242,0.006874065834623189,5,120,5,1024,1024,8,0.004564492516837329
85,COMPLETE,16.97916603489255,2025-08-14 22:24:45.417411,2025-08-14 23:03:55.916298,2350.498887,0.001223150385520219,0.0016810691227405745,0.007226373914938847,5,120,5,8192,1024,8,0.0041989336587619115
86,COMPLETE,20.245219924687735,2025-08-14 22:26:21.902634,2025-08-14 23:05:44.577945,2362.675311,0.0012154056394086685,0.0016921189556445425,0.010258111204507508,5,120,5,8192,1024,8,0.004552654291826557
87,COMPLETE,20.122544937456404,2025-08-14 23:03:56.274164,2025-08-14 23:42:53.017442,2336.743278,0.0011068235516147331,0.0017421571411361607,0.009268669582192055,5,120,5,8192,1024,8,0.0010000163697294416
88,COMPLETE,16.645790751779785,2025-08-14 23:05:44.996477,2025-08-14 23:44:56.060594,2351.064117,0.001079494396118038,0.0020226928961212995,0.006612723387533623,5,120,5,8192,1024,8,0.0014256599255403032
89,COMPLETE,16.79741918295218,2025-08-14 23:42:53.512799,2025-08-15 03:26:22.426739,13408.91394,0.0010581136414211303,0.0017784420744845096,0.003959282483666212,5,120,5,1024,1024,8,0.0011566542300054641
90,COMPLETE,15.20381329147427,2025-08-14 23:44:56.633137,2025-08-15 06:18:28.935333,23612.302196,0.0014752310377519821,0.0007837920415545966,0.003952109309104895,5,120,5,1024,1024,8,0.002522703373465039
91,PRUNED,0.994668344212696,2025-08-15 00:07:30.559368,2025-08-15 00:09:37.438613,126.879245,0.0014727843992647105,0.0007909405087349868,0.6424939344430874,5,30,5,2048,1024,4,0.0011749436088907916
92,PRUNED,4.473958960655473,2025-08-15 00:09:37.936830,2025-08-15 00:25:48.653192,970.716362,0.0010344620478026352,0.0015776369855611653,0.0036824351991511157,5,120,5,8192,1024,8,0.002375985090709164
93,COMPLETE,30.527832880981077,2025-08-15 00:25:49.247447,2025-08-15 01:00:28.750378,2079.502931,0.0025173728688599787,0.0014548276104828434,0.01682611614487404,5,120,5,8192,1024,8,0.003346877759658971
94,COMPLETE,15.53826241252465,2025-08-15 00:37:34.035603,2025-08-15 01:16:06.446276,2312.410673,0.002396212171220621,0.0014382854976303374,0.005288980418658333,5,120,5,8192,1024,8,0.0035572673737678615
95,COMPLETE,17.08407000364143,2025-08-15 01:00:29.112091,2025-08-15 01:39:18.284663,2329.172572,0.0024345638117216845,0.0013923829229139473,0.016582137366461806,5,120,5,8192,1024,8,0.005952820997251532
96,COMPLETE,43.39567529452991,2025-08-15 01:16:06.986364,2025-08-15 01:54:24.324091,2297.337727,0.0027284438534476317,0.002472351116377562,0.016679576021183102,5,120,5,8192,1024,8,0.001788433519065167
97,COMPLETE,17.17212344641597,2025-08-15 01:39:18.669886,2025-08-15 02:18:00.366415,2321.696529,0.0027662953765776373,0.0017893461050702613,0.018712942974361484,5,120,5,8192,1024,8,0.0018529622376849862
98,COMPLETE,16.622528019378223,2025-08-15 01:54:24.748981,2025-08-15 02:34:00.386859,2375.637878,0.002658897898417943,0.0006733529916200293,0.01963794376488409,5,120,5,8192,1024,8,0.0018234909588984074
99,COMPLETE,13.29273959025304,2025-08-15 02:18:01.184592,2025-08-15 03:06:18.467762,2897.28317,0.003099903126261082,0.0011098466302492049,0.026740550905926166,5,120,5,8192,1024,8,0.003200812308576458
100,COMPLETE,12.314578986749185,2025-08-15 02:30:51.935263,2025-08-15 03:25:02.676349,3250.741086,0.00324110718735055,0.002499727347339932,0.02270712264483233,5,120,5,8192,1024,8,0.003331212150615058
101,PRUNED,5.148496870054223,2025-08-15 02:34:00.816842,2025-08-15 03:04:39.254526,1838.437684,0.002974783627344864,0.002432396870850123,0.02508880444097529,5,120,5,8192,1024,2,0.0033290719387286264
102,COMPLETE,15.7770891367247,2025-08-15 03:04:39.647896,2025-08-15 06:10:05.149824,11125.501928,0.0030424133203150257,0.002479136256119077,0.010291474652883445,5,120,5,1024,512,8,0.002612450739101283
103,COMPLETE,11.678159386770368,2025-08-15 03:06:18.978757,2025-08-15 10:55:22.068046,28143.089289,0.0033666265055137356,0.0025037825613524914,0.014825862012549696,1,120,5,1024,512,8,0.0013722861244521998
104,COMPLETE,15.26952570260917,2025-08-15 03:25:03.071163,2025-08-15 18:51:18.772372,55575.701209,0.001995914684835127,0.0012604394698406101,0.010464672967738549,1,120,5,1024,512,8,0.0013925176840992807
105,COMPLETE,21.28980500874124,2025-08-15 03:26:22.804374,2025-08-15 03:49:41.929073,1399.124699,0.002581305795300616,0.0019857737139750953,0.010092799948804436,5,90,5,8192,1024,8,0.0013543092167497375
106,COMPLETE,19.344036735736154,2025-08-15 03:49:42.618856,2025-08-15 04:19:13.205539,1770.586683,0.0011307901175278193,0.002835614524389367,0.008441534307846858,5,120,3,8192,1024,8,0.0015204909676466028
